"Visitor ID";"Event position";"Page - with levels";"Visitors"
"012ACFAD228006D940DF0E1DF70CCDFB5EE9D834";3;"home";1
"012ACFAD228006D940DF0E1DF70CCDFB5EE9D834";4;"search::search";1
"012ACFAD228006D940DF0E1DF70CCDFB5EE9D834";5;"search::search";1
"012ACFAD228006D940DF0E1DF70CCDFB5EE9D834";6;"products::ip-products::network-cameras::ultra-series-smartip-|ds-2cd3626g2t-izs";1
"012ACFAD228006D940DF0E1DF70CCDFB5EE9D834";7;"products::ip-products::network-cameras::ultra-series-smartip-|ds-2cd3626g2t-izs";1
"012F6DDE4F731E27C5BC7D63DF3B4EBEC7CC7276";1;"home";1
"0136C36D85BCA4329D43B39C7FE139A0DCE14475";1;"home";1
"0136C36D85BCA4329D43B39C7FE139A0DCE14475";1;"partners::channel-partners::find-a-distributor";1
"0136C36D85BCA4329D43B39C7FE139A0DCE14475";2;"home";1
"0136C36D85BCA4329D43B39C7FE139A0DCE14475";3;"home";1
"0136C36D85BCA4329D43B39C7FE139A0DCE14475";4;"support::download::regional-support";1
"0136C36D85BCA4329D43B39C7FE139A0DCE14475";5;"support::download::regional-support";1
"0136C36D85BCA4329D43B39C7FE139A0DCE14475";6;"support::support";1
"0136C36D85BCA4329D43B39C7FE139A0DCE14475";7;"support::support";1
"0136C36D85BCA4329D43B39C7FE139A0DCE14475";8;"search::search";1
"0136C36D85BCA4329D43B39C7FE139A0DCE14475";9;"search::search";1
"0136C36D85BCA4329D43B39C7FE139A0DCE14475";10;"search::search";1
"0136C36D85BCA4329D43B39C7FE139A0DCE14475";11;"search::search";1
"0136C36D85BCA4329D43B39C7FE139A0DCE14475";12;"search::search";1
"0136C36D85BCA4329D43B39C7FE139A0DCE14475";13;"search::search";1
"0136C36D85BCA4329D43B39C7FE139A0DCE14475";14;"support::cybersecurity::the-cybersecurity-team";1
"013F3FD77454C7B7252040DEC4D184CB66303789";1;"support::tools::hitools::clea8b3e4ea7da90a9";1
"0143F360880CEA8B52D7DBACBB69AF25ABC80E78";1;"products::alarm-products::wireless-intrusion-alarm::ax-pro|ds-pwa96-kit-we";1
"014B9B79F072D9CDD5705939E77E626757D67377";1;"products::ip-products::network-cameras::acusense-series|ds-2cd2t83g2-2i-4i";1
"015090FAF08294129B30696CB83659CCB30C2255";1;"products::accessories::cctv-accessories::bracket|ds-1707zj-y";1
"015090FAF08294129B30696CB83659CCB30C2255";1;"products::accessories::cctv-accessories::bracket|ds-2780zj-x-316l";1
"015090FAF08294129B30696CB83659CCB30C2255";1;"products::ip-products::ptz-cameras::pro-series|ds-2de4a425iwg-e";1
"015090FAF08294129B30696CB83659CCB30C2255";1;"products::ip-products::ptz-cameras::pro-series|ds-2de5225w-ae3-t5-";1
"015090FAF08294129B30696CB83659CCB30C2255";1;"products::ip-products::ptz-cameras::ultra-series|ds-2df8c842ixs-aelw-t5-";1
"015090FAF08294129B30696CB83659CCB30C2255";1;"products::turbo-hd-products::dvr::acusense-series|ids-7208hqhi-m2-s";1
"015090FAF08294129B30696CB83659CCB30C2255";1;"products::turbo-hd-products::dvr::acusense-series|ids-7208huhi-m1-s";1
"015090FAF08294129B30696CB83659CCB30C2255";1;"products::turbo-hd-products::dvr::acusense-series|ids-7216huhi-m2-s";1
"015090FAF08294129B30696CB83659CCB30C2255";2;"products::accessories::cctv-accessories::bracket|ds-2780zj-x-316l";1
"015090FAF08294129B30696CB83659CCB30C2255";2;"products::ip-products::ptz-cameras::pro-series|ds-2de4a425iwg-e";1
"015090FAF08294129B30696CB83659CCB30C2255";2;"products::ip-products::ptz-cameras::pro-series|ds-2de5225w-ae3-t5-";1
"015090FAF08294129B30696CB83659CCB30C2255";3;"products::ip-products::ptz-cameras::pro-series|ds-2de4a425iwg-e";1
"015090FAF08294129B30696CB83659CCB30C2255";4;"products::ip-products::ptz-cameras::pro-series|ds-2de4a425iwg-e";1
"0153168836FF3C50D9A2B715B608239E4626FAD6";1;"home";1
"0153168836FF3C50D9A2B715B608239E4626FAD6";1;"products::video-intercom-products::ip-series::pro-series|ds-kv8113-wme1-c--eu";1
"0153168836FF3C50D9A2B715B608239E4626FAD6";1;"support::download::firmware";1
"0153168836FF3C50D9A2B715B608239E4626FAD6";1;"support::download::software::ivms4200-series";1
"0153168836FF3C50D9A2B715B608239E4626FAD6";2;"home";1
"0153168836FF3C50D9A2B715B608239E4626FAD6";2;"support::download::firmware";1
"0153168836FF3C50D9A2B715B608239E4626FAD6";2;"support::download::software::ivms4200-series";1
"0153168836FF3C50D9A2B715B608239E4626FAD6";3;"support::download::firmware";1
"0153168836FF3C50D9A2B715B608239E4626FAD6";3;"support::download::software::ivms4200-series";1
"0153168836FF3C50D9A2B715B608239E4626FAD6";4;"support::download::firmware";1
"0153168836FF3C50D9A2B715B608239E4626FAD6";4;"support::download::software::ivms4200-series";1
"0153168836FF3C50D9A2B715B608239E4626FAD6";5;"search::search";1
"0153168836FF3C50D9A2B715B608239E4626FAD6";5;"support::download::firmware";1
"0153168836FF3C50D9A2B715B608239E4626FAD6";6;"search::ds-kv8113-wme1(c)";1
"0153168836FF3C50D9A2B715B608239E4626FAD6";6;"support::download::firmware";1
"0153168836FF3C50D9A2B715B608239E4626FAD6";7;"products::video-intercom-products::ip-series::pro-series|ds-kv8113-wme1-c--eu";1
"0153168836FF3C50D9A2B715B608239E4626FAD6";7;"support::download::firmware";1
"0153168836FF3C50D9A2B715B608239E4626FAD6";8;"support::download::firmware";1
"0154D8E1C87E74CBA2740DA9B107C28ADC3777B7";1;"home";1
"01649B30A63CC9662CAFE86ADFCCC42B03B49C38";1;"support::download::software::hik-connect";1
"01649B30A63CC9662CAFE86ADFCCC42B03B49C38";2;"support::download::software::hik-connect";1
"0167D3B323F8235A985E31BA5F061B572C4BABDA";1;"products::ip-products::network-video-recorders::value-series|ds-7608ni-l1-w";1
"016B42DB577FE03059A5B6BD9B3A3025EEEDBECD";1;"home";1
"016B42DB577FE03059A5B6BD9B3A3025EEEDBECD";2;"home";1
"016B42DB577FE03059A5B6BD9B3A3025EEEDBECD";3;"products::software::hikcentral-professional-series::hikcentral-workstation";1
"016B42DB577FE03059A5B6BD9B3A3025EEEDBECD";4;"products::software::hikcentral-professional-series::hikcentral-workstation";1
"016B42DB577FE03059A5B6BD9B3A3025EEEDBECD";5;"errors::errors";1
"016B42DB577FE03059A5B6BD9B3A3025EEEDBECD";6;"products::software::hikcentral-professional-series::hikcentral-professional";1
"016B42DB577FE03059A5B6BD9B3A3025EEEDBECD";7;"products::software::hikcentral-professional-series::hikcentral-professional";1
"016B42DB577FE03059A5B6BD9B3A3025EEEDBECD";8;"products::software::hikcentral-professional-series::hikcentral-professional";1
"016B42DB577FE03059A5B6BD9B3A3025EEEDBECD";9;"products::software::hikcentral-professional-series::hikcentral-professional";1
"016B42DB577FE03059A5B6BD9B3A3025EEEDBECD";10;"products::software::hikcentral-professional-series::hikcentral-professional";1
"016B42DB577FE03059A5B6BD9B3A3025EEEDBECD";11;"products::software::hikcentral-professional-series::hikcentral-professional";1
"016B42DB577FE03059A5B6BD9B3A3025EEEDBECD";12;"products::software::hikcentral-professional-series::hikcentral-professional";1
"016B42DB577FE03059A5B6BD9B3A3025EEEDBECD";13;"products::software::hikcentral-professional-series::hikcentral-professional";1
"016B42DB577FE03059A5B6BD9B3A3025EEEDBECD";14;"products::software::hikcentral-professional-series::hikcentral-professional";1
"016B42DB577FE03059A5B6BD9B3A3025EEEDBECD";15;"products::software::hikcentral-professional-series::hikcentral-professional";1
"016B42DB577FE03059A5B6BD9B3A3025EEEDBECD";16;"products::software::hikcentral-professional-series::hikcentral-professional";1
"016B42DB577FE03059A5B6BD9B3A3025EEEDBECD";17;"products::software::hikcentral-professional-series::hikcentral-professional";1
"016B42DB577FE03059A5B6BD9B3A3025EEEDBECD";18;"products::software::hikcentral-professional-series::hikcentral-professional";1
"016B42DB577FE03059A5B6BD9B3A3025EEEDBECD";19;"products::software::hikcentral-professional-series::hikcentral-professional";1
"016B42DB577FE03059A5B6BD9B3A3025EEEDBECD";20;"products::software::hikcentral-professional-series::hikcentral-professional";1
"016B42DB577FE03059A5B6BD9B3A3025EEEDBECD";21;"products::software::hikcentral-professional-series::hikcentral-professional";1
"016B42DB577FE03059A5B6BD9B3A3025EEEDBECD";22;"products::software::hikcentral-professional-series::hikcentral-professional";1
"016B42DB577FE03059A5B6BD9B3A3025EEEDBECD";23;"products::software::hikcentral-professional-series::hikcentral-professional";1
"016B42DB577FE03059A5B6BD9B3A3025EEEDBECD";24;"products::software::hikcentral-professional-series::hikcentral-professional";1
"016B42DB577FE03059A5B6BD9B3A3025EEEDBECD";25;"products::software::hikcentral-professional-series::hikcentral-professional";1
"016B42DB577FE03059A5B6BD9B3A3025EEEDBECD";26;"products::software::hikcentral-professional-series::hikcentral-professional";1
